game_id,home_team,away_team,highest_positive_bookmaker,highest_positive_outcome,highest_positive_odds,lowest_negative_bookmaker,lowest_negative_outcome,lowest_negative_odds
06e9549407b0ac1b3d7f2bf44b9515bd,Florida Panthers,Tampa Bay Lightning,betrivers,Tampa Bay Lightning,+118.00000000000001,betrivers,Florida Panthers,-142.85714285714286
07bae813262c25cbf8bf34dbd0fbe646,Dallas Stars,St Louis Blues,betonlineag,St Louis Blues,+185.0,betrivers,Dallas Stars,-227.2727272727273
09077b1ef72829d37950445383e81803,New York Rangers,New York Islanders,fanduel,New York Islanders,+116.00000000000001,fanduel,New York Rangers,-140.84507042253523
526d6be08ef61cd2f66e5dcd063a0c96,Chicago Blackhawks,Los Angeles Kings,lowvig,Chicago Blackhawks,+208.0,draftkings,Los Angeles Kings,-250.00000000000006
a18ccf810509cdc9bba2a58bf6df99a4,Toronto Maple Leafs,San Jose Sharks,fanduel,San Jose Sharks,+309.99999999999994,mybookieag,Toronto Maple Leafs,-416.6666666666667
a8c2520303768817d99b4f308d96e1cf,Minnesota Wild,Boston Bruins,betonlineag,Boston Bruins,+143.00000000000003,draftkings,Minnesota Wild,-166.66666666666663
afbf86b8ff683597773798d55565ab56,Carolina Hurricanes,Calgary Flames,betonlineag,Calgary Flames,+261.0,draftkings,Carolina Hurricanes,-322.58064516129025
bc9874937bfd0edde3af410035879d46,Pittsburgh Penguins,Toronto Maple Leafs,betmgm,Pittsburgh Penguins,+145.00000000000003,bovada,Toronto Maple Leafs,-188.67924528301887
c82f22cb23af81e77b1e5c3e48852656,Washington Capitals,Ottawa Senators,betonlineag,Ottawa Senators,+141.0,betrivers,Washington Capitals,-163.93442622950818
db9750a02597ff73c6c54c68aeedc164,New York Rangers,Nashville Predators,betrivers,Nashville Predators,+150.0,betrivers,New York Rangers,-181.8181818181818
e83ff8ec53b20d0c6ccd1e6f47cc9e91,Vegas Golden Knights,New Jersey Devils,lowvig,New Jersey Devils,+145.00000000000003,draftkings,Vegas Golden Knights,-169.4915254237288
