game_id,home_team,away_team,highest_positive_bookmaker,positive_outcome,highest_positive_odds,average_positive_odds,highest_negative_bookmaker,negative_outcome,highest_negative_odds,average_negative_odds,difference
06e9549407b0ac1b3d7f2bf44b9515bd,Florida Panthers,Tampa Bay Lightning,betrivers,Tampa Bay Lightning,+115,+105,lowvig,Florida Panthers,-120,-125,-5
09077b1ef72829d37950445383e81803,New York Rangers,New York Islanders,fanduel,New York Islanders,+112,+106,draftkings,New York Rangers,-122,-128,-10
c82f22cb23af81e77b1e5c3e48852656,Washington Capitals,Ottawa Senators,betonlineag,Ottawa Senators,+139,+135,betonlineag,Washington Capitals,-156,-160,-17
db9750a02597ff73c6c54c68aeedc164,New York Rangers,Nashville Predators,lowvig,Nashville Predators,+152,+149,fanduel,New York Rangers,-169,-175,-17
e83ff8ec53b20d0c6ccd1e6f47cc9e91,Vegas Golden Knights,New Jersey Devils,draftkings,New Jersey Devils,+142,+140,lowvig,Vegas Golden Knights,-159,-164,-17
07bae813262c25cbf8bf34dbd0fbe646,Dallas Stars,St Louis Blues,betonlineag,St Louis Blues,+185,+182,betus,Dallas Stars,-204,-218,-19
526d6be08ef61cd2f66e5dcd063a0c96,Chicago Blackhawks,Los Angeles Kings,lowvig,Chicago Blackhawks,+208,+198,lowvig,Los Angeles Kings,-233,-238,-25
afbf86b8ff683597773798d55565ab56,Carolina Hurricanes,Calgary Flames,bovada,Calgary Flames,+250,+232,fanduel,Carolina Hurricanes,-294,-316,-44
a18ccf810509cdc9bba2a58bf6df99a4,Toronto Maple Leafs,San Jose Sharks,fanduel,San Jose Sharks,+310,+295,betrivers,Toronto Maple Leafs,-357,-384,-47
a8c2520303768817d99b4f308d96e1cf,Minnesota Wild,Boston Bruins,draftkings,Boston Bruins,+350,+338,betmgm,Minnesota Wild,-476,-501,-126
